기준_년_분기_코드,상권_코드,hl_집객시설_수,hl_관공서_수,hl_은행_수,hl_종합병원_수,hl_일반_병원_수,hl_약국_수,hl_유치원_수,hl_초등학교_수,hl_중학교_수,hl_고등학교_수,hl_대학교_수,hl_백화점_수,hl_슈퍼마켓_수,hl_극장_수,hl_숙박_시설_수,hl_공항_수,hl_철도_역_수,hl_버스_터미널_수,hl_지하철_역_수,hl_버스_정거장_수
STDR_YQ_CD,TRDAR_CD,hl_VIATR_FCLTY_CO,hl_PBLOFC_CO,hl_BANK_CO,hl_GEHSPT_CO,hl_GNRL_HSPTL_CO,hl_PARMACY_CO,hl_KNDRGR_CO,hl_ELESCH_CO,hl_MSKUL_CO,hl_HGSCHL_CO,hl_UNIV_CO,hl_DRTS_CO,hl_SUPMK_CO,hl_THEAT_CO,hl_STAYNG_FCLTY_CO,hl_ARPRT_CO,hl_RLROAD_STATN_CO,hl_BUS_TRMINL_CO,hl_SUBWAY_STATN_CO,hl_BUS_STTN_CO
varchar2(10),varchar2(15),number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
