기준_년_분기_코드,상권_코드,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2019_2,1000960,16223,9945,6278,30,1583,3449,3266,2497,5398,18,800,2159,2157,1309,3502,12,783,1290,1109,1188,1896
2019_2,1000959,17572,10016,7556,33,2192,3541,3119,3030,5657,14,931,2029,1946,1491,3605,19,1261,1512,1173,1539,2052
2019_2,1000958,23245,14306,8939,53,2423,4715,4983,4515,6556,16,1225,3034,3248,2529,4254,37,1198,1681,1735,1986,2302
2019_2,1000957,5840,3661,2179,10,747,1313,1535,1349,886,5,416,892,990,724,634,5,331,421,545,625,252
2019_2,1000956,35416,26954,8462,13,2712,5987,10285,13646,2773,4,1369,4101,7854,11695,1931,9,1343,1886,2431,1951,842
2019_2,1000955,11388,6450,4938,55,1615,3065,2866,2225,1562,28,786,1838,1748,1050,1000,27,829,1227,1118,1175,562
2019_2,1000954,11553,7233,4320,10,1635,2810,2807,2588,1703,1,729,1705,1827,1710,1261,9,906,1105,980,878,442
2019_2,1000953,12352,7584,4768,23,2230,3187,2763,2550,1599,15,1206,2143,1853,1405,962,8,1024,1044,910,1145,637
2019_2,1000952,15970,11329,4641,57,2333,3908,4464,3621,1587,45,1237,2615,3440,2745,1247,12,1096,1293,1024,876,340
2019_2,1000951,19492,10586,8906,68,3874,5181,4386,3804,2179,30,1574,3011,2818,1927,1226,38,2300,2170,1568,1877,953
2019_2,1000950,9117,5781,3336,10,1155,2349,2221,1781,1601,4,545,1599,1536,1053,1044,6,610,750,685,728,557
2019_2,1000949,6431,4340,2091,3,877,2033,1618,1085,815,0,477,1495,1129,639,600,3,400,538,489,446,215
2019_2,1000948,5775,3807,1968,13,694,1205,1410,1383,1070,9,371,777,928,904,818,4,323,428,482,479,252
2019_2,1000947,7036,4971,2065,12,858,1631,1571,1260,1704,8,421,1052,1086,894,1510,4,437,579,485,366,194
2019_2,1000946,6872,4466,2406,11,824,1403,1540,1665,1429,8,419,900,1026,1063,1050,3,405,503,514,602,379
2019_2,1000945,10949,7355,3594,12,1391,2430,2518,2269,2329,8,692,1582,1705,1456,1912,4,699,848,813,813,417
2019_2,1000944,5097,3319,1778,8,633,1100,1200,1167,989,2,297,752,820,723,725,6,336,348,380,444,264
2019_2,1000943,11106,6995,4111,8,1623,2780,2699,2618,1378,1,736,1766,1802,1701,989,7,887,1014,897,917,389
2019_2,1000942,1973,1087,886,0,174,383,548,537,331,0,94,217,281,250,245,0,80,166,267,287,86
2019_2,1000941,6118,3572,2546,54,1175,1546,1345,1277,721,32,593,898,832,697,520,22,582,648,513,580,201
2019_2,1000940,1854,894,960,1,184,370,509,526,264,1,84,185,215,231,178,0,100,185,294,295,86
2019_2,1000939,25259,10976,14283,120,6286,7594,5973,3491,1795,48,2100,3502,2690,1545,1091,72,4186,4092,3283,1946,704
2019_2,1000938,13269,8632,4637,42,2658,4296,3151,1907,1215,32,1414,2889,2197,1277,823,10,1244,1407,954,630,392
2019_2,1000937,14323,8655,5668,49,2780,4429,3319,2344,1402,23,1162,2468,2301,1629,1072,26,1618,1961,1018,715,330
2019_2,1000936,25857,17165,8692,53,5369,7243,5656,4010,3526,18,2276,4626,4298,3215,2732,35,3093,2617,1358,795,794
2019_2,1000935,50658,28954,21704,120,10989,18359,12235,6170,2785,43,4334,11007,8299,3589,1682,77,6655,7352,3936,2581,1103
2019_2,1000934,10670,3745,6925,18,3072,3557,2218,1258,547,3,641,1219,903,619,360,15,2431,2338,1315,639,187
2019_2,1000933,3417,2107,1310,3,418,649,844,791,712,2,233,396,527,498,451,1,185,253,317,293,261
2019_2,1000932,28380,17099,11281,50,4869,7767,7342,5143,3209,27,2327,5020,4699,2974,2052,23,2542,2747,2643,2169,1157
2019_2,1000931,62892,48029,14863,51,10301,18060,15895,12438,6147,27,6265,13641,13615,10424,4057,24,4036,4419,2280,2014,2090
2019_2,1000930,92700,56558,36142,158,15509,26779,25201,20625,4428,70,9248,18666,16288,9254,3032,88,6261,8113,8913,11371,1396
2019_2,1000929,14779,9440,5339,37,2724,4525,4035,2461,997,17,1216,2939,2830,1699,739,20,1508,1586,1205,762,258
2019_2,1000928,4350,2826,1524,78,802,1137,1013,813,507,29,488,765,652,501,391,49,314,372,361,312,116
2019_2,1000927,22906,11534,11372,53,5812,7398,4918,3110,1615,11,1665,3496,2921,2305,1136,42,4147,3902,1997,805,479
2019_2,1000926,21360,13524,7836,42,3224,6259,5594,4164,2077,15,1394,3629,3859,2994,1633,27,1830,2630,1735,1170,444
2019_2,1000925,14903,8743,6160,50,2409,4304,3662,2750,1728,23,1028,2554,2344,1646,1148,27,1381,1750,1318,1104,580
2019_2,1000924,19126,11898,7228,44,3470,5639,4866,3338,1769,17,1469,3279,3357,2375,1401,27,2001,2360,1509,963,368
2019_2,1000923,39655,25233,14422,121,6246,12100,11148,6617,3423,20,2642,7381,8038,4955,2197,101,3604,4719,3110,1662,1226
2019_2,1000922,11237,6265,4972,39,1741,2954,2686,2305,1512,23,744,1612,1569,1316,1001,16,997,1342,1117,989,511
2019_2,1000921,26010,14918,11092,55,4589,6959,6717,4846,2844,26,2144,4462,4058,2511,1717,29,2445,2497,2659,2335,1127
2019_2,1000920,17197,11593,5604,39,2076,5044,4684,3617,1737,26,1014,3578,3306,2516,1153,13,1062,1466,1378,1101,584
2019_2,1000919,13015,9541,3474,23,1392,4187,3779,2692,942,12,703,3133,2853,2136,704,11,689,1054,926,556,238
2019_2,1000918,14517,7537,6980,29,3644,4918,3062,1807,1057,8,1346,2570,1874,1070,669,21,2298,2348,1188,737,388
2019_2,1000917,15288,9326,5962,55,3121,4489,3424,2225,1974,25,1298,2869,2391,1384,1359,30,1823,1620,1033,841,615
2019_2,1000916,26050,14721,11329,70,5405,8028,5919,4140,2488,23,2397,4963,3809,2012,1517,47,3008,3065,2110,2128,971
2019_2,1000915,11412,7492,3920,38,2418,3827,2576,1570,983,23,1097,2265,2002,1290,815,15,1321,1562,574,280,168
2019_2,1000914,26569,16745,9824,55,5489,8274,6188,3977,2586,21,2402,4975,4381,2947,2019,34,3087,3299,1807,1030,567
2019_2,1000913,26048,16651,9397,59,5608,7884,6074,3996,2427,30,2443,5005,4338,3016,1819,29,3165,2879,1736,980,608
2019_2,1000912,31422,24054,7368,28,5569,8927,8156,5635,3107,13,3239,6771,6901,4672,2458,15,2330,2156,1255,963,649
2019_2,1000911,35398,20349,15049,66,6794,10125,9282,7856,1275,22,2350,4926,6040,6077,934,44,4444,5199,3242,1779,341
2019_2,1000910,45427,25601,19826,85,9377,13941,11490,8963,1571,24,3106,6709,7481,7104,1177,61,6271,7232,4009,1859,394
2019_2,1000909,21633,11895,9738,41,4471,6693,5235,3463,1730,19,1391,3277,3397,2499,1312,22,3080,3416,1838,964,418
2019_2,1000908,22258,12215,10043,41,4405,6925,5448,3579,1860,14,1464,3678,3443,2299,1317,27,2941,3247,2005,1280,543
2019_2,1000907,21865,11878,9987,52,5390,6708,5039,3072,1604,14,1917,3610,3200,1965,1172,38,3473,3098,1839,1107,432
2019_2,1000906,14091,7339,6752,22,3648,4354,3232,1773,1062,5,1197,2300,1985,1105,747,17,2451,2054,1247,668,315
2019_2,1000905,12413,6807,5606,22,3346,3822,2597,1488,1138,6,1207,2077,1689,999,829,16,2139,1745,908,489,309
2019_2,1000904,27418,16462,10956,107,6252,8048,6730,4340,1941,43,2769,4814,4512,2860,1464,64,3483,3234,2218,1480,477
2019_2,1000903,3770,2475,1295,3,457,917,835,839,719,3,230,635,549,548,510,0,227,282,286,291,209
2019_2,1000902,32015,23227,8788,54,4536,8720,9006,7270,2429,20,2131,5684,7176,6266,1950,34,2405,3036,1830,1004,479
2019_2,1000901,45634,23984,21650,185,7936,10659,13617,9776,3461,101,3804,6324,6703,4903,2149,84,4132,4335,6914,4873,1312
2019_2,1000900,44511,22711,21800,185,7594,11610,13304,8562,3256,94,3700,7207,6237,3346,2127,91,3894,4403,7067,5216,1129
2019_2,1000899,7485,3505,3980,10,1631,2151,1771,1167,755,2,560,1012,833,587,511,8,1071,1139,938,580,244
