기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1001469,5,,,,,1,,,,,,,,,2,,,,,
2019_2,1000376,9,,,,,2,,,,,,,,,,,,,,2
2019_2,1000205,9,2,,,,2,,,,,,,,,1,,,,,1
2019_2,1000142,19,,,,1,4,,,,,,,,,4,,,,,1
2019_2,1001262,37,,3,,1,2,,,,,,,,,1,,,,,2
2019_2,1001165,57,,2,,,7,,,,,,,,,4,,,,1,3
2019_2,1001065,20,,1,,,4,,,,,,,1,,,,,,,2
2019_2,1001060,32,2,4,,,3,,,,,,,9,,,,,,1,5
2019_2,1000773,12,3,,,,2,1,,,,,,,,1,,,,,2
2019_2,1001136,9,,,,,,,,,,,,,,1,,,,,1
2019_2,1001023,63,2,11,,,5,,,,,,,,,1,,,,1,18
2019_2,1001237,22,1,,,,2,,,,,,,,,3,,,,1,2
2019_2,1000566,17,,,,,1,,,,,,,,,2,,,,,8
2019_2,1001340,20,,1,,,4,,,,,,,,,,,,,,5
2019_2,1000675,10,,,,,,,,,,,,1,,,,,,,3
2019_2,1000093,8,,,,,,1,1,,,,,,,,,,,,3
2019_2,1000097,14,,,,,,,,,,,,,,,,,,1,7
2019_2,1000065,12,,,,,2,,,,,,,,,,,,,,4
2019_2,1000300,12,2,,,,1,,,,,,,,,,,,,,2
2019_2,1001149,28,,4,,,4,,,,,,,,,2,,,,,3
2019_2,1000511,11,,1,,,1,,,,,,,,,1,,,,,2
2019_2,1000183,9,,,,1,1,,,,,,,,,3,,,,,1
2019_2,1000168,13,,,,,1,,,,,,,,,12,,,,,
2019_2,1000574,7,,1,,,,,,,,,,,,1,,,,,2
2019_2,1001350,29,1,2,,,3,,,,,,,1,1,2,,,,,3
2019_2,1001115,41,2,3,,,3,,,,,,,,,5,,,,1,3
2019_2,1000041,7,1,1,,,,,,,,,,,,1,,,,,
2019_2,1000079,13,1,2,,,,,,,,,,,,1,,,,,2
2019_2,1000094,8,,1,,,,,,,,,,,,,,,,,1
2019_2,1000743,24,1,,,,4,,,,,,,,1,6,,,,,1
2019_2,1000684,16,1,1,,1,1,,,,,,,,,3,,,,,4
2019_2,1000233,15,,2,,,1,,,,,,,,,2,,,,,3
2019_2,1000239,16,,,,,1,,,,,,,,,,,,,,1
2019_2,1000186,3,,,,,,,,,,,,,,,,,,,
2019_2,1000923,14,2,2,,,,,,,,,,,,6,,,,,2
2019_2,1000929,7,,,,,,,,,,,,,,,,,,,
2019_2,1001222,39,,1,,,5,,,,,,,,,3,,,,,5
2019_2,1001216,70,1,2,,,5,,,,,,,,4,20,,,,,5
2019_2,1001290,7,1,,,,,,,,,,,,,,,,,,
2019_2,1000495,7,,,,,,,,,,,,,1,4,,,,,1
2019_2,1000006,24,1,,,,2,,,,,,,,4,9,,,,,4
2019_2,1000353,5,,,,,,,,,,,,,,1,,,,,
2019_2,1001354,5,,,,,2,,,,,,,,,,,,,,
2019_2,1000807,9,,,,,,,,,,,,,,,,,,,3
2019_2,1000814,13,,,,,,,,,,,,,,2,,,,,
2019_2,1000617,11,,,,,1,,,,,,,,,,,,,,3
2019_2,1000624,8,,,,,,,,,,,,,,,,,,,4
2019_2,1000554,12,1,,,,1,,,,,,,,,1,,,,,2
2019_2,1000876,3,,,,,,,,,,,,,,,,,,,
2019_2,1000988,5,,,,,,1,,,,,,,,1,,,,,1
2019_2,1000160,12,,1,,,1,,,,,,,,,2,,,,,2
2019_2,1000132,7,,,,,1,,,,,,,1,,,,,,,
2019_2,1000156,27,,,,,3,1,,,,,,,,3,,,,,7
2019_2,1000048,22,2,1,,,1,1,,,,,,,,6,,,,,1
2019_2,1000423,7,1,,,,,1,,1,,,,,,,,,,,3
2019_2,1000045,32,,,,,,,,,,,,,1,22,,,,,2
2019_2,1000717,7,,,,,,2,,,,,,,,,,,,,2
2019_2,1000261,11,,1,,,2,1,,,,,,,,,,,,,2
2019_2,1000437,15,,1,,,1,2,,,,,,,,3,,,,,1
2019_2,1000552,9,,,,,1,1,,,,,,,,,,,,,
2019_2,1000760,15,,,,,,,,,,1,,,,9,,,,,2
2019_2,1000235,10,,,,,1,2,,,,,,,,2,,,,,1
2019_2,1001189,63,2,1,,,2,,1,,,1,,,,24,,,,,5
2019_2,1000401,17,,1,,,1,1,,,,,,,,,,,,,4
2019_2,1000269,13,,,,,1,,,,,,,,,,,,,,2
2019_2,1001239,58,6,7,,,6,,,,,,,,6,,,,,,6
2019_2,1000650,18,,1,,,3,1,,,,,,,,,,,,,3
2019_2,1000577,13,,1,,,1,,,,,,,,,,,,,,1
2019_2,1000349,15,,1,1,2,2,,,,,,,,,,,,,,3
2019_2,1001159,41,,2,,1,5,,,,,,,,,,,,,1,1
2019_2,1000536,6,,,,1,,,1,,,,,,,1,,,,,1
2019_2,1001091,17,1,1,,1,2,,,,,,,,,,,,,,4
2019_2,1001107,67,,1,,,3,,,,,,,,,19,,,,,1
2019_2,1001083,10,,1,,,2,,,,,,,,,1,,,,,
2019_2,1001245,56,3,1,,,4,,,,,,,,,18,,,,,5
2019_2,1001448,25,,2,,,5,,,,,,,2,,1,,,,,3
2019_2,1000171,3,,,,,1,,,,,,,,,,,,,,1
2019_2,1000385,19,,,,,3,,,,,,,,,1,,,,,7
2019_2,1000664,11,2,,,,1,,,,,,,,,1,,,,,1
2019_2,1000633,7,,1,,,1,,,,,,,,,,,,,,2
2019_2,1001309,2,,,,,,,,,,,,,,,,,,,
2019_2,1000346,37,,1,,,5,,,,,,,1,,,,,,,10
2019_2,1000981,47,2,1,,,7,1,,,,,,,,3,,,,1,4
2019_2,1001058,19,,,,1,2,,,,,,,1,,5,,,,,2
