기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_1,1001207,1,300,,,,,,300,,,,,,17,106600000
2019_2,1001206,3,42,12,,,,34,16,4,,,,,54,146131481
2019_1,1001206,3,42,12,,,,34,16,4,,,,,54,146131481
2019_2,1001205,1,2,,,,,2,,,,,,,46,77500000
2019_1,1001205,1,2,,,,,2,,,,,,,46,77500000
2019_2,1001201,6,60,130,,,,6,64,114,6,,,,68,206903558
2019_1,1001201,6,60,130,,,,6,64,114,6,,,,68,206903558
2019_2,1001199,2,133,428,173,8,2,4,161,577,2,,,,72,186431328
2019_1,1001199,2,133,428,173,8,2,4,161,577,2,,,,72,186431328
2019_2,1001198,24,335,89,,,,228,194,2,,,,,48,108424092
2019_1,1001198,24,335,89,,,,228,194,2,,,,,48,108424092
2019_2,1001197,7,81,67,4,,,10,134,8,,,,,62,156576020
2019_1,1001197,7,81,67,4,,,10,134,8,,,,,62,156576020
2019_2,1001195,1,20,,,,,,20,,,,,,20,155000000
2019_1,1001195,1,20,,,,,,20,,,,,,20,155000000
2019_2,1001193,2,,54,,,,,4,50,,,,,85,220642857
2019_1,1001193,2,,54,,,,,4,50,,,,,85,220642857
2019_2,1001192,2,4,14,,,,4,,14,,,,,49,152178571
2019_1,1001192,2,4,14,,,,4,,14,,,,,49,152178571
2019_2,1001190,1,18,,,,,18,,,,,,,26,35333333
2019_1,1001190,1,18,,,,,18,,,,,,,26,35333333
2019_2,1001189,2,13,17,2,,,3,1,10,18,,,,65,199446429
2019_1,1001189,2,13,17,2,,,3,1,10,18,,,,65,199446429
2019_2,1001188,1,20,,2,,,14,6,2,,,,,45,122090909
2019_1,1001188,1,20,,2,,,14,6,2,,,,,45,122090909
2019_2,1001187,11,152,12,,,,100,62,2,,,,,48,100299439
2019_1,1001187,11,152,12,,,,100,62,2,,,,,48,100299439
2019_2,1001186,10,338,2,100,2,4,175,163,44,62,,,2,37,119183235
2019_1,1001186,10,338,2,100,2,4,175,163,44,62,,,2,37,119183235
2019_2,1001185,19,194,64,,,,191,62,4,1,,,,55,102268415
2019_1,1001185,19,194,64,,,,191,62,4,1,,,,55,102268415
2019_2,1001183,11,229,10,2,4,,106,133,2,4,,,,46,122198841
2019_1,1001183,11,229,10,2,4,,106,133,2,4,,,,46,122198841
2019_2,1001182,92,1286,263,24,16,2,789,600,170,26,4,,2,48,129936955
2019_1,1001182,92,1286,263,24,16,2,789,600,170,26,4,,2,48,129936955
2019_2,1001181,18,236,30,,,,132,130,4,,,,,45,129333554
2019_1,1001181,18,236,30,,,,132,130,4,,,,,45,129333554
2019_2,1001180,9,212,2,,,,186,26,2,,,,,31,80581164
2019_1,1001180,9,212,2,,,,186,26,2,,,,,31,80581164
2019_2,1001179,35,626,210,8,,,264,380,200,,,,,48,116505290
2019_1,1001179,35,626,210,8,,,264,380,200,,,,,48,116505290
2019_2,1001178,10,177,26,,,,98,93,12,,,,,42,125484374
2019_1,1001178,10,177,26,,,,98,93,12,,,,,42,125484374
2019_2,1001175,6,,570,68,90,,,,16,308,332,72,,98,396060866
2019_1,1001175,6,,570,68,90,,,,16,308,332,72,,98,396060866
2019_2,1001174,15,215,28,,,,76,146,21,,,,,40,134866005
2019_1,1001174,15,215,28,,,,76,146,21,,,,,40,134866005
2019_2,1001173,14,86,21,17,,,15,79,30,,,,,58,155933770
2019_1,1001173,14,86,21,17,,,15,79,30,,,,,58,155933770
2019_2,1001172,3,14,14,,,,,,,26,2,,,65,377166667
2019_1,1001172,3,14,14,,,,,,,26,2,,,65,377166667
2019_2,1001169,3,18,4,2,,,,,8,8,4,,4,67,359000000
2019_1,1001169,3,18,4,2,,,,,8,8,4,,4,67,359000000
2019_2,1001168,2,126,2,4,,,124,2,,,4,2,,60,279531746
2019_1,1001168,2,126,2,4,,,124,2,,,4,2,,60,279531746
2019_2,1001166,13,1304,1261,196,32,,,76,1368,874,364,54,57,84,324211003
2019_1,1001166,13,1304,1261,196,32,,,76,1368,874,364,54,57,84,324211003
2019_2,1001165,8,124,46,,,,98,32,40,,,,,38,124665659
2019_1,1001165,8,124,46,,,,98,32,40,,,,,38,124665659
2019_2,1001164,3,4,62,24,,2,,8,8,18,40,16,2,80,259153509
2019_1,1001164,3,4,62,24,,2,,8,8,18,40,16,2,80,259153509
2019_2,1001163,9,592,243,147,,,152,238,412,180,,,,63,205462738
2019_1,1001163,9,592,243,147,,,152,238,412,180,,,,63,205462738
2019_2,1001162,10,202,6,,,,70,112,26,,,,,41,148428902
2019_1,1001162,10,202,6,,,,70,112,26,,,,,41,148428902
2019_2,1001160,19,307,11,2,1,,72,212,37,,,,,43,134465230
2019_1,1001160,19,307,11,2,1,,72,212,37,,,,,43,134465230
2019_2,1001158,1,24,,,,,,24,,,,,,59,115500000
2019_1,1001158,1,24,,,,,,24,,,,,,59,115500000
2019_2,1001157,6,44,4,,,,3,24,18,3,,,,53,207561905
2019_1,1001157,6,44,4,,,,3,24,18,3,,,,53,207561905
2019_2,1001156,15,556,36,1,,,493,66,34,,,,,43,134214845
2019_1,1001156,15,556,36,1,,,493,66,34,,,,,43,134214845
2019_2,1001155,7,96,9,2,,,1,48,50,8,,,,47,205749150
2019_1,1001155,7,96,9,2,,,1,48,50,8,,,,47,205749150
2019_2,1001153,2,204,,32,,,,18,30,166,22,,,46,227926606
2019_1,1001153,2,204,,32,,,,18,30,166,22,,,46,227926606
2019_2,1001152,1,,,,,108,,,,,,4,104,184,754962963
2019_1,1001152,1,,,,,108,,,,,,4,104,184,754962963
2019_2,1001150,10,76,14,12,30,68,,,46,34,12,6,102,101,540268770
2019_1,1001150,10,76,14,12,30,68,,,46,34,12,6,102,101,540268770
2019_2,1001147,1,,112,,,,,,,112,,,,85,329500000
2019_1,1001147,1,,112,,,,,,,112,,,,85,329500000
2019_2,1001146,4,14,30,2,10,4,,4,2,22,14,16,2,97,427643452
2019_1,1001146,4,14,30,2,10,4,,4,2,22,14,16,2,97,427643452
2019_2,1001145,1,,74,15,,,,,,45,44,,,84,396797753
2019_1,1001145,1,,74,15,,,,,,45,44,,,84,396797753
2019_2,1001143,2,16,2,,,,,2,14,2,,,,43,265250000
2019_1,1001143,2,16,2,,,,,2,14,2,,,,43,265250000
2019_2,1001141,10,263,251,54,,,28,90,16,18,115,205,96,60,316546895
2019_1,1001141,10,263,251,54,,,28,90,16,18,115,205,96,60,316546895
2019_2,1001140,44,420,228,43,22,51,14,240,146,92,172,22,78,78,415661955
2019_1,1001140,44,420,228,43,22,51,14,240,146,92,172,22,78,78,415661955
2019_2,1001138,17,,6,6,44,174,,,,,2,4,224,185,1592448739
2019_1,1001138,17,,6,6,44,174,,,,,2,4,224,185,1592448739
2019_2,1001137,7,27,15,5,,,11,23,11,2,,,,57,147921088
2019_1,1001137,7,27,15,5,,,11,23,11,2,,,,57,147921088
2019_2,1001136,4,272,124,88,,,,6,30,272,88,40,48,78,318815104
2019_1,1001136,4,272,124,88,,,,6,30,272,88,40,48,78,318815104
2019_2,1001135,53,631,176,122,73,16,67,422,199,87,81,132,30,62,249165230
2019_1,1001135,53,631,176,122,73,16,67,422,199,87,81,132,30,62,249165230
2019_2,1001133,1,,36,,,,,,,,12,24,,85,493666667
2019_1,1001133,1,,36,,,,,,,,12,24,,85,493666667
2019_2,1001131,4,444,,,16,52,,,,,,,512,115,1346248155
2019_1,1001131,4,444,,,16,52,,,,,,,512,115,1346248155
2019_2,1001130,1,,,,,92,,,,,,,92,211,2374521739
2019_1,1001130,1,,,,,92,,,,,,,92,211,2374521739
2019_2,1001129,2,,2,122,58,6,,,,,,2,186,125,879683796
2019_1,1001129,2,,2,122,58,6,,,,,,2,186,125,879683796
2019_2,1001128,3,392,12,,,12,,12,98,284,10,,12,45,272787086
2019_1,1001128,3,392,12,,,12,,12,98,284,10,,12,45,272787086
2019_2,1001126,5,64,2,,,,28,38,,,,,,40,95888095
2019_1,1001126,5,64,2,,,,28,38,,,,,,40,95888095
2019_2,1001125,3,24,232,,,,,6,10,10,2,148,80,64,381490497
2019_1,1001125,3,24,232,,,,,6,10,10,2,148,80,64,381490497
2019_2,1001123,4,40,84,18,,,4,36,4,2,8,82,6,63,333962121
2019_1,1001123,4,40,84,18,,,4,36,4,2,8,82,6,63,333962121
2019_2,1001122,2,,,18,80,196,,,,,98,,196,182,620081633
2019_1,1001122,2,,,18,80,196,,,,,98,,196,182,620081633
2019_2,1001120,5,115,2,4,,,,86,28,3,4,,,44,224700040
2019_1,1001120,5,115,2,4,,,,86,28,3,4,,,44,224700040
2019_2,1001119,1,32,,,,,32,,,,,,,15,65000000
2019_1,1001119,1,32,,,,,32,,,,,,,15,65000000
2019_2,1001118,2,,160,,100,,,,,,80,104,76,116,554660000
2019_1,1001118,2,,160,,100,,,,,,80,104,76,116,554660000
2019_2,1001117,17,166,20,10,72,,8,132,38,10,36,44,,85,325645613
2019_1,1001117,17,166,20,10,72,,8,132,38,10,36,44,,85,325645613
2019_2,1001115,3,32,4,2,,,,16,16,,6,,,55,258206349
2019_1,1001115,3,32,4,2,,,,16,16,,6,,,55,258206349
2019_2,1001114,7,108,22,,2,,30,82,18,,2,,,46,149782710
2019_1,1001114,7,108,22,,2,,30,82,18,,2,,,46,149782710
2019_2,1001111,8,99,22,6,,,9,64,34,14,6,,,51,206854594
2019_1,1001111,8,99,22,6,,,9,64,34,14,6,,,51,206854594
2019_2,1001110,3,,,30,112,256,,,,,132,72,194,172,569343362
2019_1,1001110,3,,,30,112,256,,,,,132,72,194,172,569343362
2019_2,1001109,17,281,32,4,2,2,60,222,31,4,2,2,,44,147037302
2019_1,1001109,17,281,32,4,2,2,60,222,31,4,2,2,,44,147037302
2019_2,1001108,7,602,8,2,,36,18,56,530,6,2,,36,95,384118053
2019_1,1001108,7,602,8,2,,36,18,56,530,6,2,,36,95,384118053
2019_2,1001107,26,319,40,20,,2,96,207,60,4,12,2,,50,169955892
2019_1,1001107,26,319,40,20,,2,96,207,60,4,12,2,,50,169955892
2019_2,1001106,1,28,,,,,24,4,,,,,,25,99500000
2019_1,1001106,1,28,,,,,24,4,,,,,,25,99500000
2019_2,1001105,4,150,3,3,,,140,10,6,,,,,56,169085354
2019_1,1001105,4,150,3,3,,,140,10,6,,,,,56,169085354
2019_2,1001102,14,164,44,4,,16,32,106,52,20,2,6,10,57,216431836
2019_1,1001102,14,164,44,4,,16,32,106,52,20,2,6,10,57,216431836
2019_2,1001101,65,1025,178,51,34,16,160,689,258,102,35,20,40,54,210226053
2019_1,1001101,65,1025,178,51,34,16,160,689,258,102,35,20,40,54,210226053
2019_2,1001100,1,38,,,,,,36,2,,,,,33,131000000
2019_1,1001100,1,38,,,,,,36,2,,,,,33,131000000
2019_2,1001099,10,126,38,36,2,4,22,74,50,24,32,,4,61,230798810
2019_1,1001099,10,126,38,36,2,4,22,74,50,24,32,,4,61,230798810
2019_2,1001098,24,530,72,44,66,,64,282,100,136,46,18,66,55,229563874
2019_1,1001098,24,530,72,44,66,,64,282,100,136,46,18,66,55,229563874
2019_2,1001096,9,572,1000,120,,,,,368,1144,60,120,,83,374603481
2019_1,1001096,9,572,1000,120,,,,,368,1144,60,120,,83,374603481
2019_2,1001095,51,1295,86,60,14,22,143,1052,168,38,46,10,20,60,219025301
2019_1,1001095,51,1295,86,60,14,22,143,1052,168,38,46,10,20,60,219025301
2019_2,1001094,15,96,64,28,23,38,6,76,42,32,13,20,60,95,396432685
2019_1,1001094,15,96,64,28,23,38,6,76,42,32,13,20,60,95,396432685
2019_2,1001093,43,628,116,8,,2,104,442,115,81,10,,2,46,181457197
2019_1,1001093,43,628,116,8,,2,104,442,115,81,10,,2,46,181457197
2019_2,1001092,22,366,72,4,2,,14,297,61,66,4,2,,41,183604144
2019_1,1001092,22,366,72,4,2,,14,297,61,66,4,2,,41,183604144
2019_2,1001090,9,78,18,24,18,,,38,52,22,8,18,,77,278421717
2019_1,1001090,9,78,18,24,18,,,38,52,22,8,18,,77,278421717
2019_2,1001088,30,416,118,32,,,44,290,134,76,16,6,,54,213588680
2019_1,1001088,30,416,118,32,,,44,290,134,76,16,6,,54,213588680
2019_2,1001087,38,747,34,12,4,,92,490,187,20,6,2,,42,164533452
2019_1,1001087,38,747,34,12,4,,92,490,187,20,6,2,,42,164533452
2019_2,1001085,54,1112,175,33,32,4,100,902,196,111,10,20,17,55,214022006
2019_1,1001085,54,1112,175,33,32,4,100,902,196,111,10,20,17,55,214022006
2019_2,1001084,4,254,4,36,,,,100,138,20,,12,24,81,415465000
2019_1,1001084,4,254,4,36,,,,100,138,20,,12,24,81,415465000
2019_2,1001083,17,204,44,8,,,2,58,164,24,8,,,56,229849183
2019_1,1001083,17,204,44,8,,,2,58,164,24,8,,,56,229849183
2019_2,1001082,66,2842,242,234,2,,120,1834,656,484,4,2,220,45,194585043
2019_1,1001082,66,2842,242,234,2,,120,1834,656,484,4,2,220,45,194585043
2019_2,1001081,15,146,104,39,4,,12,76,68,108,25,4,,66,261730503
2019_1,1001081,15,146,104,39,4,,12,76,68,108,25,4,,66,261730503
2019_2,1001080,7,56,10,,1,,11,39,9,6,2,,,45,191762626
2019_1,1001080,7,56,10,,1,,11,39,9,6,2,,,45,191762626
2019_2,1001078,5,292,88,,116,22,,76,170,94,44,24,110,80,344353438
2019_1,1001078,5,292,88,,116,22,,76,170,94,44,24,110,80,344353438
2019_2,1001077,3,280,18,,,,,36,160,90,12,,,44,267426237
2019_1,1001077,3,280,18,,,,,36,160,90,12,,,44,267426237
2019_2,1001074,5,569,,,,,285,88,196,,,,,31,121007749
2019_1,1001074,5,569,,,,,285,88,196,,,,,31,121007749
2019_2,1001073,47,849,152,48,14,20,102,546,249,124,36,6,20,57,225248735
2019_1,1001073,47,849,152,48,14,20,102,546,249,124,36,6,20,57,225248735
2019_2,1001072,21,337,63,13,,,161,212,27,13,,,,41,131969085
2019_1,1001072,21,337,63,13,,,161,212,27,13,,,,41,131969085
2019_2,1001071,24,294,132,52,6,2,34,181,107,40,46,56,22,55,250585276
2019_1,1001071,24,294,132,52,6,2,34,181,107,40,46,56,22,55,250585276
2019_2,1001070,3,89,98,,,,,7,13,1,70,96,,56,320507932
2019_1,1001070,3,89,98,,,,,7,13,1,70,96,,56,320507932
2019_2,1001069,2,8,8,28,,,,,8,8,12,16,,85,417482143
2019_1,1001069,2,8,8,28,,,,,8,8,12,16,,85,417482143
2019_2,1001067,14,706,48,4,,,293,409,56,,,,,47,116718301
2019_1,1001067,14,706,48,4,,,293,409,56,,,,,47,116718301
2019_2,1001066,17,598,282,62,,2,20,306,282,138,96,64,38,52,225724803
2019_1,1001066,17,598,282,62,,2,20,306,282,138,96,64,38,52,225724803
2019_2,1001065,2,32,,,,,,32,,,,,,39,145125000
2019_1,1001065,2,32,,,,,,32,,,,,,39,145125000
2019_2,1001064,4,451,84,,,,175,264,96,,,,,36,143979453
2019_1,1001064,4,451,84,,,,175,264,96,,,,,36,143979453
2019_2,1001063,7,48,26,78,145,160,30,18,8,20,12,,369,97,521240600
2019_1,1001063,7,48,26,78,145,160,30,18,8,20,12,,369,97,521240600
2019_2,1001062,5,682,104,16,112,124,,597,77,136,88,68,72,107,384765100
2019_1,1001062,5,682,104,16,112,124,,597,77,136,88,68,72,107,384765100
2019_2,1001061,24,226,206,276,1,226,14,146,70,12,204,50,439,80,328609103
2019_1,1001061,24,226,206,276,1,226,14,146,70,12,204,50,439,80,328609103
2019_2,1001058,54,820,138,102,64,2,158,544,200,136,84,4,,54,192626843
2019_1,1001058,54,820,138,102,64,2,158,544,200,136,84,4,,54,192626843
2019_2,1001057,14,737,30,,2,,9,238,494,24,4,,,47,193311615
2019_1,1001057,14,737,30,,2,,9,238,494,24,4,,,47,193311615
2019_2,1001056,3,226,36,4,30,18,,226,16,54,18,,,91,265819807
2019_1,1001056,3,226,36,4,30,18,,226,16,54,18,,,91,265819807
2019_2,1001054,2,,212,,,,,,,,,48,164,86,850500000
2019_1,1001054,2,,212,,,,,,,,,48,164,86,850500000
2019_2,1001052,10,624,12,40,,,30,216,382,14,34,,,48,183369722
2019_1,1001052,10,624,12,40,,,30,216,382,14,34,,,48,183369722
2019_2,1001051,13,269,176,85,24,321,50,83,180,205,36,243,78,87,241202544
2019_1,1001051,13,269,176,85,24,321,50,83,180,205,36,243,78,87,241202544
2019_2,1001050,25,227,114,78,46,8,53,140,106,104,54,10,6,72,258934368
2019_1,1001050,25,227,114,78,46,8,53,140,106,104,54,10,6,72,258934368
2019_2,1001049,48,676,128,,,,204,600,,,,,,57,109020831
2019_1,1001049,48,676,128,,,,204,600,,,,,,57,109020831
2019_2,1001048,1,,,144,,,,,,,,,144,127,945333333
2019_1,1001048,1,,,144,,,,,,,,,144,127,945333333
2019_2,1001047,12,138,24,38,16,2,11,89,46,28,42,,2,72,263785809
2019_1,1001047,12,138,24,38,16,2,11,89,46,28,42,,2,72,263785809
2019_2,1001046,15,695,8,,2,,422,184,97,,2,,,27,106005546
2019_1,1001046,15,695,8,,2,,422,184,97,,2,,,27,106005546
2019_2,1001045,10,94,34,38,12,,65,33,54,20,6,,,56,168581748
2019_1,1001045,10,94,34,38,12,,65,33,54,20,6,,,56,168581748
2019_2,1001044,29,303,243,43,,3,72,187,88,107,129,9,,60,220304873
2019_1,1001044,29,303,243,43,,3,72,187,88,107,129,9,,60,220304873
2019_2,1001043,6,1016,38,,,,16,562,298,10,138,30,,46,266068996
2019_1,1001043,6,1016,38,,,,16,562,298,10,138,30,,46,266068996
2019_2,1001042,6,130,50,,12,,74,56,2,48,,12,,73,292207341
2019_1,1001042,6,130,50,,12,,74,56,2,48,,12,,73,292207341
2019_2,1001041,2,521,,,,,,446,75,,,,,28,142979407
2019_1,1001041,2,521,,,,,,446,75,,,,,28,142979407
2019_2,1001040,7,368,1,,,,332,36,1,,,,,25,111820167
2019_1,1001040,7,368,1,,,,332,36,1,,,,,25,111820167
2019_2,1001039,3,980,,2,,,,868,112,2,,,,53,210531602
2019_1,1001039,3,980,,2,,,,868,112,2,,,,53,210531602
2019_2,1001038,10,82,,,,,82,,,,,,,37,53998810
2019_1,1001038,10,82,,,,,82,,,,,,,37,53998810
2019_2,1001037,22,262,46,208,4,8,22,168,98,26,18,188,8,59,244837937
2019_1,1001037,22,262,46,208,4,8,22,168,98,26,18,188,8,59,244837937
2019_2,1001036,9,113,18,3,,,43,58,30,3,,,,55,181852954
2019_1,1001036,9,113,18,3,,,43,58,30,3,,,,55,181852954
2019_2,1001035,6,16,47,14,10,,,16,2,26,25,12,6,87,381580291
2019_1,1001035,6,16,47,14,10,,,16,2,26,25,12,6,87,381580291
2019_2,1001034,18,143,60,24,,,,89,52,52,34,,,57,243667240
2019_1,1001034,18,143,60,24,,,,89,52,52,34,,,57,243667240
2019_2,1001033,5,4,90,8,338,54,,4,38,,2,,450,105,506035546
2019_1,1001033,5,4,90,8,338,54,,4,38,,2,,450,105,506035546
2019_2,1001032,9,128,30,16,2,,92,64,18,2,,,,65,150583136
2019_1,1001032,9,128,30,16,2,,92,64,18,2,,,,65,150583136
2019_2,1001030,11,134,102,4,4,,14,90,36,4,92,8,,57,235151288
2019_1,1001030,11,134,102,4,4,,14,90,36,4,92,8,,57,235151288
2019_2,1001028,1,8,,,,,,8,,,,,,57,161250000
2019_1,1001028,1,8,,,,,,8,,,,,,57,161250000
2019_2,1001027,1,66,,,,,60,6,,,,,,15,95181818
2019_1,1001027,1,66,,,,,60,6,,,,,,15,95181818
2019_2,1001026,5,52,12,4,2,,8,56,,,2,4,,79,302250000
2019_1,1001026,5,52,12,4,2,,8,56,,,2,4,,79,302250000
2019_2,1001025,26,1556,39,26,,,355,1180,66,20,,,,45,148719138
2019_1,1001025,26,1556,39,26,,,355,1180,66,20,,,,45,148719138
2019_2,1001024,10,116,34,42,2,,26,54,40,18,48,8,,57,231705635
2019_1,1001024,10,116,34,42,2,,26,54,40,18,48,8,,57,231705635
2019_2,1001023,3,152,198,,,,72,278,,,,,,43,96825540
2019_1,1001023,3,152,198,,,,72,278,,,,,,43,96825540
2019_2,1001022,2,142,,,,,142,,,,,,,18,72136364
2019_1,1001022,2,142,,,,,142,,,,,,,18,72136364
2019_2,1001019,1,30,2,,,,12,18,2,,,,,29,112750000
2019_1,1001019,1,30,2,,,,12,18,2,,,,,29,112750000
2019_2,1001018,19,214,117,,,2,6,111,120,94,,2,,56,237854095
2019_1,1001018,19,214,117,,,2,6,111,120,94,,2,,56,237854095
2019_2,1001017,2,16,24,,,,,,40,,,,,70,244791667
2019_1,1001017,2,16,24,,,,,,40,,,,,70,244791667
2019_2,1001015,8,144,4,,,,86,62,,,,,,38,103479464
2019_1,1001015,8,144,4,,,,86,62,,,,,,38,103479464
2019_2,1001013,8,485,198,58,12,,,25,18,466,190,6,48,77,324979142
2019_1,1001013,8,485,198,58,12,,,25,18,466,190,6,48,77,324979142
2019_2,1001011,8,134,,34,4,,76,58,38,,,,,57,137014627
2019_1,1001011,8,134,,34,4,,76,58,38,,,,,57,137014627
2019_2,1001010,36,311,43,,,,84,215,55,,,,,49,142613436
2019_1,1001010,36,311,43,,,,84,215,55,,,,,49,142613436
2019_2,1001009,44,385,35,3,,,78,295,43,7,,,,50,149498968
2019_1,1001009,44,385,35,3,,,78,295,43,7,,,,50,149498968
2019_2,1001008,23,155,201,,,,60,56,57,183,,,,53,172795000
2019_1,1001008,23,155,201,,,,60,56,57,183,,,,53,172795000
2019_2,1001007,26,152,10,,,,34,121,7,,,,,48,130267399
2019_1,1001007,26,152,10,,,,34,121,7,,,,,48,130267399
2019_2,1001006,42,459,532,108,,,59,318,364,230,128,,,53,162487407
2019_1,1001006,42,459,532,108,,,59,318,364,230,128,,,53,162487407
2019_2,1001005,32,176,130,5,,1,71,166,74,1,,,,54,139894353
2019_1,1001005,32,176,130,5,,1,71,166,74,1,,,,54,139894353
2019_2,1001004,57,569,179,43,,19,125,326,167,166,26,,,51,149161788
2019_1,1001004,57,569,179,43,,19,125,326,167,166,26,,,51,149161788
2019_2,1001003,9,101,239,,,,5,40,71,224,,,,57,215082111
2019_1,1001003,9,101,239,,,,5,40,71,224,,,,57,215082111
2019_2,1001002,54,362,419,7,15,4,79,303,362,59,4,,,59,160824286
2019_1,1001002,54,362,419,7,15,4,79,303,362,59,4,,,59,160824286
2019_2,1001001,100,748,813,33,1,,120,595,852,28,,,,56,162075341
2019_1,1001001,100,748,813,33,1,,120,595,852,28,,,,56,162075341
2019_2,1001000,27,278,31,3,1,,120,175,17,1,,,,41,121420854
2019_1,1001000,27,278,31,3,1,,120,175,17,1,,,,41,121420854
2019_2,1000999,34,644,304,167,,,41,252,554,268,,,,52,176034776
2019_1,1000999,34,644,304,167,,,41,252,554,268,,,,52,176034776
2019_2,1000998,38,710,41,45,,,75,328,392,1,,,,48,141601765
2019_1,1000998,38,710,41,45,,,75,328,392,1,,,,48,141601765
2019_2,1000997,10,83,7,,,,,58,32,,,,,50,191928889
2019_1,1000997,10,83,7,,,,,58,32,,,,,50,191928889
2019_2,1000996,11,48,35,6,,,9,29,40,11,,,,65,222669212
2019_1,1000996,11,48,35,6,,,9,29,40,11,,,,65,222669212
2019_2,1000995,46,295,75,1,1,,13,163,169,27,,,,52,202211341
2019_1,1000995,46,295,75,1,1,,13,163,169,27,,,,52,202211341
2019_2,1000994,16,105,13,2,,,4,93,21,2,,,,54,169837547
2019_1,1000994,16,105,13,2,,,4,93,21,2,,,,54,169837547
2019_2,1000993,33,216,185,1,2,,32,196,124,52,,,,59,176823481
2019_1,1000993,33,216,185,1,2,,32,196,124,52,,,,59,176823481
2019_2,1000992,34,469,384,34,,,59,101,470,224,33,,,60,183198410
2019_1,1000992,34,469,384,34,,,59,101,470,224,33,,,60,183198410
2019_2,1000991,63,514,214,5,,,82,368,228,55,,,,53,153806259
2019_1,1000991,63,514,214,5,,,82,368,228,55,,,,53,153806259
2019_2,1000990,53,593,456,4,1,1,110,194,451,298,2,,,57,156996458
2019_1,1000990,53,593,456,4,1,1,110,194,451,298,2,,,57,156996458
2019_2,1000989,73,516,284,8,1,,158,394,254,3,,,,53,149649004
2019_1,1000989,73,516,284,8,1,,158,394,254,3,,,,53,149649004
2019_2,1000988,39,296,150,33,6,,88,263,128,6,,,,54,135502317
2019_1,1000988,39,296,150,33,6,,88,263,128,6,,,,54,135502317
2019_2,1000987,8,110,52,34,,,14,54,104,24,,,,59,143726922
2019_1,1000987,8,110,52,34,,,14,54,104,24,,,,59,143726922
2019_2,1000986,104,769,255,6,3,,161,652,168,52,,,,49,148831996
2019_1,1000986,104,769,255,6,3,,161,652,168,52,,,,49,148831996
2019_2,1000985,96,748,225,14,,,188,608,190,1,,,,51,143961287
2019_1,1000985,96,748,225,14,,,188,608,190,1,,,,51,143961287
2019_2,1000984,85,625,497,22,1,,90,527,372,155,1,,,59,168095906
2019_1,1000984,85,625,497,22,1,,90,527,372,155,1,,,59,168095906
2019_2,1000983,34,434,795,138,3,,55,126,376,418,331,64,,58,197400431
2019_1,1000983,34,434,795,138,3,,55,126,376,418,331,64,,58,197400431
2019_2,1000982,13,84,2,,,,21,63,2,,,,,43,120464103
2019_1,1000982,13,84,2,,,,21,63,2,,,,,43,120464103
2019_2,1000981,16,233,181,1,,,69,21,91,189,45,,,56,165866306
2019_1,1000981,16,233,181,1,,,69,21,91,189,45,,,56,165866306
2019_2,1000980,31,333,215,1,,,83,151,180,135,,,,52,143707153
2019_1,1000980,31,333,215,1,,,83,151,180,135,,,,52,143707153
2019_2,1000979,35,325,54,1,1,,96,214,70,1,,,,46,151628943
2019_1,1000979,35,325,54,1,1,,96,214,70,1,,,,46,151628943
2019_2,1000978,46,372,268,27,1,,98,252,123,195,,,,53,153766535
2019_1,1000978,46,372,268,27,1,,98,252,123,195,,,,53,153766535
2019_2,1000977,29,221,232,32,1,1,79,157,229,22,,,,55,147279056
2019_1,1000977,29,221,232,32,1,1,79,157,229,22,,,,55,147279056
2019_2,1000976,30,194,,,,,3,180,11,,,,,49,172173810
2019_1,1000976,30,194,,,,,3,180,11,,,,,49,172173810
2019_2,1000975,5,32,,,,,,32,,,,,,44,148609524
2019_1,1000975,5,32,,,,,,32,,,,,,44,148609524
2019_2,1000974,15,91,2,1,,,9,82,2,1,,,,52,150674074
2019_1,1000974,15,91,2,1,,,9,82,2,1,,,,52,150674074
2019_2,1000973,35,234,68,3,,,37,184,84,,,,,49,153435272
2019_1,1000973,35,234,68,3,,,37,184,84,,,,,49,153435272
2019_2,1000972,68,591,236,39,1,,92,397,317,61,,,,51,155035394
2019_1,1000972,68,591,236,39,1,,92,397,317,61,,,,51,155035394
2019_2,1000971,33,228,47,,,,18,203,54,,,,,55,167914671
2019_1,1000971,33,228,47,,,,18,203,54,,,,,55,167914671
2019_2,1000970,4,24,,,,,,23,1,,,,,54,175958333
2019_1,1000970,4,24,,,,,,23,1,,,,,54,175958333
2019_2,1000969,19,122,161,20,2,,35,105,45,113,7,,,54,150459350
2019_1,1000969,19,122,161,20,2,,35,105,45,113,7,,,54,150459350
2019_2,1000968,32,207,99,3,,,46,193,70,,,,,54,145567218
2019_1,1000968,32,207,99,3,,,46,193,70,,,,,54,145567218
2019_2,1000967,67,389,338,59,57,2,82,284,294,144,23,,18,70,193420906
2019_1,1000967,67,389,338,59,57,2,82,284,294,144,23,,18,70,193420906
