기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_1,1001440,5,330,374,,,3,,4,616,86,1,,,88,260570286
2019_2,1001439,3,16,16,,,,14,18,,,,,,54,107219444
2019_1,1001439,3,16,16,,,,14,18,,,,,,54,107219444
2019_2,1001433,3,171,60,,,,,1,148,82,,,,66,264210246
2019_1,1001433,3,171,60,,,,,1,148,82,,,,66,264210246
2019_2,1001430,4,32,126,,,,42,116,,,,,,65,133843750
2019_1,1001430,4,32,126,,,,42,116,,,,,,65,133843750
2019_2,1001429,5,69,,,,,,69,,,,,,47,140926190
2019_1,1001429,5,69,,,,,,69,,,,,,47,140926190
2019_2,1001428,3,60,30,,,,,90,,,,,,59,135666667
2019_1,1001428,3,60,30,,,,,90,,,,,,59,135666667
2019_2,1001427,9,134,,,,,40,94,,,,,,45,117593952
2019_1,1001427,9,134,,,,,40,94,,,,,,45,117593952
2019_2,1001424,14,179,46,,,,38,187,,,,,,52,124228515
2019_1,1001424,14,179,46,,,,38,187,,,,,,52,124228515
2019_2,1001421,9,150,18,,,,36,132,,,,,,53,113444781
2019_1,1001421,9,150,18,,,,36,132,,,,,,53,113444781
2019_2,1001420,2,106,12,,,,,118,,,,,,61,135237288
2019_1,1001420,2,106,12,,,,,118,,,,,,61,135237288
2019_2,1001419,3,,,,,8,,,,,,2,6,287,872833333
2019_1,1001419,3,,,,,8,,,,,,2,6,287,872833333
2019_2,1001418,12,108,4,,,,102,10,,,,,,48,82431250
2019_1,1001418,12,108,4,,,,102,10,,,,,,48,82431250
2019_2,1001417,1,18,,,,,6,12,,,,,,46,101222222
2019_1,1001417,1,18,,,,,6,12,,,,,,46,101222222
2019_2,1001415,3,20,202,,,,18,46,158,,,,,63,193409907
2019_1,1001415,3,20,202,,,,18,46,158,,,,,63,193409907
2019_2,1001414,8,89,33,,,,18,103,1,,,,,48,127173039
2019_1,1001414,8,89,33,,,,18,103,1,,,,,48,127173039
2019_2,1001413,23,318,60,,,,127,203,48,,,,,48,114261861
2019_1,1001413,23,318,60,,,,127,203,48,,,,,48,114261861
2019_2,1001412,10,158,20,2,,,118,62,,,,,,53,102675139
2019_1,1001412,10,158,20,2,,,118,62,,,,,,53,102675139
2019_2,1001411,23,312,84,,,,114,280,2,,,,,55,113601225
2019_1,1001411,23,312,84,,,,114,280,2,,,,,55,113601225
2019_2,1001409,20,304,44,,,,132,216,,,,,,53,101350404
2019_1,1001409,20,304,44,,,,132,216,,,,,,53,101350404
2019_2,1001406,1,6,,,,,,6,,,,,,44,146666667
2019_1,1001406,1,6,,,,,,6,,,,,,44,146666667
2019_2,1001405,3,66,8,,,,,67,7,,,,,54,180304198
2019_1,1001405,3,66,8,,,,,67,7,,,,,54,180304198
2019_2,1001403,4,60,1,,,,20,41,,,,,,46,115175000
2019_1,1001403,4,60,1,,,,20,41,,,,,,46,115175000
2019_2,1001401,1,,44,,,,,,4,40,,,,76,306636364
2019_1,1001401,1,,44,,,,,,4,40,,,,76,306636364
2019_2,1001400,1,12,,,,,12,,,,,,,35,52333333
2019_1,1001400,1,12,,,,,12,,,,,,,35,52333333
2019_2,1001399,6,100,84,12,,,28,166,2,,,,,66,127274777
2019_1,1001399,6,100,84,12,,,28,166,2,,,,,66,127274777
2019_2,1001398,22,363,42,,2,,276,131,,,,,,50,83545346
2019_1,1001398,22,363,42,,2,,276,131,,,,,,50,83545346
2019_2,1001397,13,192,66,,,,106,152,,,,,,55,106871329
2019_1,1001397,13,192,66,,,,106,152,,,,,,55,106871329
2019_2,1001396,21,169,203,4,,,40,228,108,,,,,61,150206171
2019_1,1001396,21,169,203,4,,,40,228,108,,,,,61,150206171
2019_2,1001395,9,208,155,41,1,,124,81,159,41,,,,50,170201466
2019_1,1001395,9,208,155,41,1,,124,81,159,41,,,,50,170201466
2019_2,1001394,18,254,45,2,12,,54,225,24,10,,,,52,155182914
2019_1,1001394,18,254,45,2,12,,54,225,24,10,,,,52,155182914
2019_2,1001391,18,251,7,8,,,50,208,8,,,,,49,138048729
2019_1,1001391,18,251,7,8,,,50,208,8,,,,,49,138048729
2019_2,1001390,31,330,131,,,,24,312,125,,,,,58,167776941
2019_1,1001390,31,330,131,,,,24,312,125,,,,,58,167776941
