상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드
TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,x_loc,y_loc,SIGNGU_CD,ADSTRD_CD
varchar2(5),varchar2(30),varchar2(15),varchar2(40),number,number,varchar2(10),varchar2(15)
