기준_년_분기_코드,상권_코드,서비스_업종_코드,서비스_업종_코드_명,hl_점포수,hl_당월_매출_금액,hl_당월_매출_건수,hl_주중_매출_비율,hl_주말_매출_비율,hl_월요일_매출_비율,hl_화요일_매출_비율,hl_수요일_매출_비율,hl_목요일_매출_비율,hl_금요일_매출_비율,hl_토요일_매출_비율,hl_일요일_매출_비율,hl_시간대_00~06_매출_비율,hl_시간대_06~11_매출_비율,hl_시간대_11~14_매출_비율,hl_시간대_14~17_매출_비율,hl_시간대_17~21_매출_비율,hl_시간대_21~24_매출_비율,hl_남성_매출_비율,hl_여성_매출_비율,hl_연령대_10_매출_비율,hl_연령대_20_매출_비율,hl_연령대_30_매출_비율,hl_연령대_40_매출_비율,hl_연령대_50_매출_비율,hl_연령대_60_이상_매출_비율,hl_주중_매출_금액,hl_주말_매출_금액,hl_월요일_매출_금액,hl_화요일_매출_금액,hl_수요일_매출_금액,hl_목요일_매출_금액,hl_금요일_매출_금액,hl_토요일_매출_금액,hl_일요일_매출_금액,hl_시간대_00~06_매출_금액,hl_시간대_06~11_매출_금액,hl_시간대_11~14_매출_금액,hl_시간대_14~17_매출_금액,hl_시간대_17~21_매출_금액,hl_시간대_21~24_매출_금액,hl_남성_매출_금액,hl_여성_매출_금액,hl_연령대_10_매출_금액,hl_연령대_20_매출_금액,hl_연령대_30_매출_금액,hl_연령대_40_매출_금액,hl_연령대_50_매출_금액,hl_연령대_60_이상_매출_금액,hl_주중_매출_건수,hl_주말_매출_건수,hl_월요일_매출_건수,hl_화요일_매출_건수,hl_수요일_매출_건수,hl_목요일_매출_건수,hl_금요일_매출_건수,hl_토요일_매출_건수,hl_일요일_매출_건수,hl_시간대_건수~06_매출_건수,hl_시간대_건수~11_매출_건수,hl_시간대_건수~14_매출_건수,hl_시간대_건수~17_매출_건수,hl_시간대_건수~21_매출_건수,hl_시간대_건수~24_매출_건수,hl_남성_매출_건수,hl_여성_매출_건수,hl_연령대_10_매출_건수,hl_연령대_20_매출_건수,hl_연령대_30_매출_건수,hl_연령대_40_매출_건수,hl_연령대_50_매출_건수,hl_연령대_60_이상_매출_건수
STDR_YQ_CD,TRDAR_CD,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,hl_STOR_CO,hl_THSMON_SELNG_AMT,hl_THSMON_SELNG_CO,hl_MDWK_SELNG_RATE,hl_WKEND_SELNG_RATE,hl_MON_SELNG_RATE,hl_TUES_SELNG_RATE,hl_WED_SELNG_RATE,hl_THUR_SELNG_RATE,hl_FRI_SELNG_RATE,hl_SAT_SELNG_RATE,hl_SUN_SELNG_RATE,hl_TMZON_00_06_SELNG_RATE,hl_TMZON_06_11_SELNG_RATE,hl_TMZON_11_14_SELNG_RATE,hl_TMZON_14_17_SELNG_RATE,hl_TMZON_17_21_SELNG_RATE,hl_TMZON_21_24_SELNG_RATE,hl_ML_SELNG_RATE,hl_FML_SELNG_RATE,hl_AGRDE_10_SELNG_RATE,hl_AGRDE_20_SELNG_RATE,hl_AGRDE_30_SELNG_RATE,hl_AGRDE_40_SELNG_RATE,hl_AGRDE_50_SELNG_RATE,hl_AGRDE_60_ABOVE_SELNG_RATE,hl_MDWK_SELNG_AMT,hl_WKEND_SELNG_AMT,hl_MON_SELNG_AMT,hl_TUES_SELNG_AMT,hl_WED_SELNG_AMT,hl_THUR_SELNG_AMT,hl_FRI_SELNG_AMT,hl_SAT_SELNG_AMT,hl_SUN_SELNG_AMT,hl_TMZON_00_06_SELNG_AMT,hl_TMZON_06_11_SELNG_AMT,hl_TMZON_11_14_SELNG_AMT,hl_TMZON_14_17_SELNG_AMT,hl_TMZON_17_21_SELNG_AMT,hl_TMZON_21_24_SELNG_AMT,hl_ML_SELNG_AMT,hl_FML_SELNG_AMT,hl_AGRDE_10_SELNG_AMT,hl_AGRDE_20_SELNG_AMT,hl_AGRDE_30_SELNG_AMT,hl_AGRDE_40_SELNG_AMT,hl_AGRDE_50_SELNG_AMT,hl_AGRDE_60_ABOVE_SELNG_AMT,hl_MDWK_SELNG_CO,hl_WKEND_SELNG_CO,hl_MON_SELNG_CO,hl_TUES_SELNG_CO,hl_WED_SELNG_CO,hl_THUR_SELNG_CO,hl_FRI_SELNG_CO,hl_SAT_SELNG_CO,hl_SUN_SELNG_CO,hl_TMZON_00_06_SELNG_CO,hl_TMZON_06_11_SELNG_CO,hl_TMZON_11_14_SELNG_CO,hl_TMZON_14_17_SELNG_CO,hl_TMZON_17_21_SELNG_CO,hl_TMZON_21_24_SELNG_CO ,hl_ML_SELNG_CO ,hl_FML_SELNG_CO,hl_AGRDE_10_SELNG_CO,hl_AGRDE_20_SELNG_CO,hl_AGRDE_30_SELNG_CO ,hl_AGRDE_40_SELNG_CO,hl_AGRDE_50_SELNG_CO,hl_AGRDE_60_ABOVE_SELNG_CO
varchar2(10),varchar2(15),varchar2(20),varchar2(30),number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
