기준_년_분기_코드,상권_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2019_2,1000960,3334649,7,9645918635,2341790338,1185319747,702455130,1159661767,1671913596,377351940,277804499,1513650462,415971156
2019_2,1000959,3762612,8,8301455441,2040226416,1018947399,602169117,1013890074,1436340911,318556894,239286115,1270422963,361615552
2019_2,1000958,3727546,7,8570559026,2086342585,1053343532,630645439,1038989938,1491462953,335342154,247477559,1315483299,371471567
2019_2,1000957,3557427,7,8847985238,2080146465,1088449839,659774481,1036913972,1556827407,371010993,252324944,1431411558,371125579
2019_2,1000956,3485655,7,11853230500,2880199018,1448682764,864411186,1437633382,2086075353,445193850,343533503,1833406836,514094608
2019_2,1000955,3853742,8,11526565558,2815118945,1401928842,808954813,1372546841,1961328156,434445269,331441202,1908444118,492357372
2019_2,1000954,4215581,8,20640818847,4961545716,2514453599,1532050334,2425234581,3652071464,743521024,622901972,3296421148,892619009
2019_2,1000953,2986851,7,13503440736,3182804615,1666774363,1011393895,1583236943,2373179261,562333319,390864070,2163782871,569071399
2019_2,1000952,3489168,7,13078601989,3176110851,1607333394,964524909,1574709709,2311774837,486419866,385395799,1996165293,576167331
2019_2,1000951,3012998,7,13614831766,3307487360,1674460568,1019729931,1612512138,2378298693,528086947,410273162,2098579657,585403310
2019_2,1000950,3052593,7,9859612112,2390070223,1211541697,731887158,1171063977,1729552928,371896251,294669640,1529722476,429207762
2019_2,1000949,3139392,7,9067785141,2190470630,1109373390,675944932,1069844300,1608671544,335815839,272939927,1410673448,394051131
2019_2,1000948,3867956,8,13860411050,3399366427,1686996400,1019484737,1664584003,2428298810,512197026,415804749,2137525147,596153751
2019_2,1000947,2924911,6,13696878103,3338358283,1672345463,1016443625,1623672764,2410027088,507284622,414532785,2123120844,591092629
2019_2,1000946,2735129,6,14059110160,3452061622,1702862636,1024584267,1672688811,2445763913,511904892,423062823,2225390175,600791021
2019_2,1000945,3573074,7,16201663613,3905590495,1974790185,1197340216,1904855921,2860033744,600213664,487479255,2576367568,694992565
2019_2,1000944,2910626,6,13406284450,3245890157,1633189925,992227049,1573368674,2346354963,493469282,404539419,2140652223,576592758
2019_2,1000943,4501316,8,13673396557,3244675839,1665327446,1015000889,1588979115,2434292623,499124575,409628820,2227790678,588576572
2019_2,1000942,2327583,5,8724842504,2484427467,1031816568,618617361,1237899620,1351336568,314548447,265839557,1066640994,353715922
2019_2,1000941,3938278,8,8525158080,2062616616,1045029875,608502100,1037397886,1498976778,319084340,240979020,1338457542,374113923
2019_2,1000940,2367896,5,7384746179,2031537190,885137765,530132840,1018695825,1181841847,279832586,221077497,933104210,303386419
2019_2,1000939,5320387,9,8788276314,1978902408,1081420536,657301517,993096972,1583729162,357132593,248975853,1515369786,372347487
2019_2,1000938,3003326,7,8781540783,2114213848,1114682444,721128635,995629558,1502817179,365039031,289087080,1288273514,390669494
2019_2,1000937,4869344,8,9185644702,2032981582,1133116215,694843137,1005195883,1630587456,384666777,262550213,1658857449,382845990
2019_2,1000936,3755406,8,4708027546,1090454889,595046685,386933367,526373292,831971658,207313820,144236888,721886634,203810313
2019_2,1000935,4100281,8,2612255426,585198550,329554420,205026875,287212344,452817488,118903206,77501501,445972745,110068297
2019_2,1000934,4045071,8,8839001084,2139623518,1091079378,664656478,1062365782,1537309022,356538356,257393476,1351069252,378965822
2019_2,1000933,3901568,8,9641993019,2248828475,1196733388,729054341,1116320381,1701378927,398473751,276948057,1559330059,414925640
2019_2,1000932,5262886,9,8913755378,2005262389,1102790715,628946853,979076418,1547508723,354542939,248432895,1667926345,379268101
2019_2,1000931,5276821,9,6264551707,1371143230,821530474,496621204,692726381,1132582913,340780989,176328920,970184530,262653066
2019_2,1000930,4732007,8,11439650731,2510040818,1440728901,905735424,1238490947,1994740568,519385745,335230835,2012996587,482300906
2019_2,1000929,4887111,8,6086578929,1392331820,766251954,477299162,700071374,1098336414,268528646,176583601,945895969,261279989
2019_2,1000928,4735936,8,3047452374,701532738,376646946,225427361,366596146,570260208,111814142,85423614,471975795,137775424
2019_2,1000927,4468220,8,5544731588,1267286716,686149781,430412538,618424355,985625090,229197328,163697517,927182359,236755904
2019_2,1000926,4175135,8,4774112036,1102104761,598022761,378649644,550585696,860957285,199767972,141339071,734302442,208382404
2019_2,1000925,5369196,9,10225160103,2294232674,1258580942,766653774,1142198746,1831629297,416766810,291228506,1792336888,431532466
2019_2,1000924,4448343,8,7626669892,1723438642,954591354,597411706,844958222,1349426707,333308539,224389813,1276532952,322611957
2019_2,1000923,4065736,8,10573001959,2400266781,1302676115,804638128,1132716460,1802008374,416531117,312494580,1952199582,449470822
2019_2,1000922,4438755,8,11759814916,2706309052,1441933544,830420089,1279967520,1989913674,425497095,340066808,2236680763,509026371
2019_2,1000921,5661695,9,9409730349,2131639379,1158566320,653110667,1050507002,1662350936,349123558,259632039,1733953067,410847381
2019_2,1000920,5549902,9,10359068222,2373403343,1262745586,713000096,1133422348,1775699671,360408877,293224993,1995850985,451312323
2019_2,1000919,6144601,9,9194537547,2034121038,1122097549,620438186,990622649,1581649299,339374690,250643383,1864640887,390949866
2019_2,1000918,4696005,8,5680215910,1293294326,703306118,438659435,636378714,1015803014,234155121,166266273,949073869,243279040
2019_2,1000917,4934941,9,10645489049,2412775981,1302896340,772901630,1178745957,1882005279,415889623,305523330,1926574340,448176569
2019_2,1000916,3826559,8,7106673143,1596027359,872109441,530358573,772641549,1248778889,284320860,207005309,1296577495,298853668
2019_2,1000915,4616979,8,7301190589,1630617106,908883227,553757855,796423675,1288596687,311892390,212106474,1292414603,306498572
2019_2,1000914,4115173,8,9892418836,2281405284,1242932092,786192081,1106789006,1747152198,420373287,301611372,1578035332,427928184
2019_2,1000913,3663125,7,7747436447,1840670288,974109438,638217417,874981676,1362637936,323423366,244937217,1148796963,339662146
2019_2,1000912,5244516,9,8311666776,1828945878,1081597604,646899909,932219803,1513282383,428389712,233296203,1292845347,354189937
2019_2,1000911,5237676,9,5810420948,1274572666,745168853,452827968,653195933,1054896298,293168882,162213825,931074019,243302504
2019_2,1000910,5398900,9,5179621421,1138653410,668129998,405401096,583140928,937649520,267381570,145691566,816874676,216698657
2019_2,1000909,3849370,8,4068741274,950417973,512460653,325568600,473259766,735991661,168833985,122360066,599285198,180563372
2019_2,1000908,3484254,7,3861936674,886041996,482315718,313290764,428784931,681911423,162792699,116826387,622902816,167069940
2019_2,1000907,3606287,7,4199504833,965687200,528078235,342912523,464014587,739973612,183395024,127766527,666562771,181114354
2019_2,1000906,3368352,7,4044283859,970661850,504144672,325075632,463132144,702151471,165324933,125322229,612944112,175526816
2019_2,1000905,3280457,7,4274811078,1029909585,532668422,344563419,488464918,740775648,172998503,133220490,645830957,186379136
2019_2,1000904,4859073,8,12627232965,2858697996,1582722383,946846923,1418409342,2221501615,521126447,370360812,2159829285,547738162
2019_2,1000903,3279250,7,5295862292,1231636692,658605912,398623022,616043579,948002543,216305868,153407492,843985852,229251332
2019_2,1000902,4484028,8,9679416119,2281967365,1217680057,781149610,1122964141,1742234769,397131515,295996334,1409032565,431259763
2019_2,1000901,4205994,8,7128896662,1638169223,896016484,548596942,829588530,1289290950,311745904,205572714,1104989326,304926589
2019_2,1000900,3819567,8,8651138109,2066475390,1083258941,672606391,1017380975,1512756607,375229753,258373345,1296390064,368666643
