기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1000847,47,776,4517,1052,948,450,1,5,52,248,442,940,6055,110,713210662
2019_2,1000848,147,860,1023,679,818,713,114,541,760,431,290,218,1739,85,343607437
2019_2,1000849,79,576,584,355,622,1355,78,335,392,202,204,210,2071,88,392452757
2019_2,1000850,84,864,920,318,836,754,101,452,430,181,369,390,1769,82,379260843
2019_2,1000851,262,3653,1492,153,132,56,156,2117,1913,937,169,96,98,61,247182288
2019_2,1000852,148,1870,692,322,118,107,159,1092,908,475,278,61,136,74,290800200
2019_2,1000853,296,4086,1810,735,638,48,150,2078,1783,575,526,266,1939,60,280170413
2019_2,1000854,254,1990,1974,1730,581,376,129,1377,1252,292,392,538,2671,69,273253757
2019_2,1000855,235,1118,1752,541,903,678,44,462,722,614,733,835,1582,115,462629095
2019_2,1000856,235,3192,1369,121,162,18,143,1946,1546,922,127,86,92,60,245076141
2019_2,1000857,229,3340,1361,58,58,20,214,1961,1700,794,92,16,60,58,237517560
2019_2,1000858,188,1726,1399,379,300,62,182,677,585,485,307,119,1511,62,309346793
2019_2,1000859,118,1700,625,14,34,32,90,1110,651,413,76,5,60,56,232116676
2019_2,1000860,186,2297,817,394,144,115,254,1360,1014,587,323,101,128,69,274419433
2019_2,1000861,145,911,952,683,501,434,106,499,827,502,389,135,1023,85,325064314
2019_2,1000862,215,2074,1418,513,718,480,96,1128,904,482,177,253,2163,68,327702564
2019_2,1000863,248,2357,1251,565,561,639,99,1186,1282,557,409,164,1676,73,335796216
2019_2,1000864,175,1027,725,1127,683,1928,58,648,470,248,287,224,3555,128,613534462
2019_2,1000865,74,1072,2904,476,256,315,90,368,585,304,366,920,2390,83,400247285
2019_2,1000866,217,1012,1292,437,841,1184,30,254,558,574,499,503,2348,132,561564647
2019_2,1000867,125,1004,1442,335,651,987,30,296,406,384,553,649,2101,108,504970224
2019_2,1000868,170,2958,488,84,12,14,338,2182,655,247,112,6,16,46,185733658
2019_2,1000869,320,3154,1644,373,108,10,117,1670,1884,851,339,126,302,58,256370279
2019_2,1000870,308,2769,1373,322,187,545,100,1457,1579,848,408,136,668,68,304597090
2019_2,1000871,285,2221,1262,500,437,1479,95,1306,1056,729,363,230,2120,87,409548678
2019_2,1000872,288,3187,2046,476,306,104,148,1450,1289,862,427,320,1623,63,320510591
2019_2,1000873,80,491,4235,1339,614,408,81,156,136,447,366,1116,4785,96,487584494
2019_2,1000874,405,4212,2538,680,302,106,173,2176,2184,1136,671,462,1036,62,295446509
2019_2,1000875,106,3101,2009,845,1136,220,166,845,252,138,708,1918,3284,67,384880366
2019_2,1000876,159,2364,949,48,68,6,111,1506,1028,624,94,4,68,57,238473421
2019_2,1000877,188,3576,1655,673,462,1096,300,2017,656,237,182,124,3946,58,327709877
2019_2,1000878,203,4573,2773,205,180,158,326,2245,705,261,136,318,3898,51,281450543
2019_2,1000879,308,2657,1733,517,110,4,140,1195,1114,969,618,260,725,61,282842831
2019_2,1000880,341,2938,2576,515,50,97,143,1408,1838,849,753,808,377,61,277411112
2019_2,1000881,294,2746,2175,499,90,42,167,1568,1605,630,402,296,884,60,263491288
2019_2,1000882,92,538,769,1231,901,542,10,232,260,239,212,650,2378,106,476117973
2019_2,1000883,88,668,1396,1761,1072,261,88,336,321,330,432,688,2963,91,442694938
2019_2,1000884,227,2529,1482,1015,488,14,149,1388,1057,326,298,325,1985,62,269299013
2019_2,1000885,130,1366,1687,892,1068,444,172,546,563,573,503,786,2314,87,386559181
2019_2,1000886,216,3535,673,182,22,32,536,2590,710,278,231,48,51,53,196716323
2019_2,1000414,321,3813,1412,114,180,34,1542,3380,513,118,0,0,0,56,127290404
2019_2,1000415,579,6545,3485,82,111,0,3234,5804,958,227,0,0,0,58,122389743
2019_2,1000416,458,6153,2464,63,314,1,2974,3926,1609,469,16,1,0,54,124127128
2019_2,1000417,329,3421,654,270,10,10,2249,1812,298,4,2,0,0,52,99721311
