기준_년_분기_코드,상권_코드,hl_총_직장_인구_수,hl_남성_직장_인구_수,hl_여성_직장_인구_수,hl_연령대_10_직장_인구_수,hl_연령대_20_직장_인구_수,hl_연령대_30_직장_인구_수,hl_연령대_40_직장_인구_수,hl_연령대_50_직장_인구_수,hl_연령대_60_이상_직장_인구_수,hl_남성연령대_10_직장_인구_수,hl_남성연령대_20_직장_인구_수,hl_남성연령대_30_직장_인구_수,hl_남성연령대_40_직장_인구_수,hl_남성연령대_50_직장_인구_수,hl_남성연령대_60_이상_직장_인구_수,hl_여성연령대_10_직장_인구_수,hl_여성연령대_20_직장_인구_수,hl_여성연령대_30_직장_인구_수,hl_여성연령대_40_직장_인구_수,hl_여성연령대_50_직장_인구_수,hl_여성연령대_60_이상_직장_인구_수
STDR_YQ_CD,TRDAR_CD,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO
varchar2(10),varchar2(15),number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
