기준_년_분기_코드,상권_코드,남성_유동인구_수,여성_유동인구_수,주중_유동인구_수,주말_유동인구_수,남성_상주인구_수,여성_상주인구_수,남성_직장_인구_수,여성_직장_인구_수
2019_2,1001303,10985,12507,17027,6465,47.0,52.0,3.0,7.0
2019_2,1001357,52730,56721,74089,35365,719.0,760.0,615.0,343.0
2019_2,1001358,3775,3921,5202,2493,33.0,30.0,13.0,6.0
2019_2,1001359,66129,62326,88540,39913,1126.0,1169.0,33.0,49.0
2019_2,1001419,31491,18337,37566,12262,133.0,123.0,1.0,0.0
2019_2,1001420,37736,34566,49396,22906,303.0,308.0,13.0,47.0
2019_2,1001421,6242,7210,8721,4730,170.0,200.0,10.0,5.0
2019_2,1001422,6949,6451,9577,3822,85.0,74.0,23.0,54.0
2019_2,1001476,74026,73235,101113,46155,1126.0,1141.0,27.0,36.0
2019_2,1001477,38856,37637,52691,23803,502.0,456.0,76.0,35.0
2019_2,1001478,148565,152400,211029,89939,2503.0,2741.0,1247.0,1782.0
2019_2,1001304,89210,97106,127716,58602,972.0,1041.0,34.0,29.0
2019_2,1001305,7548,7845,10643,4751,31.0,28.0,10.0,6.0
2019_2,1001306,17268,17841,24676,10434,95.0,99.0,14.0,12.0
2019_2,1001307,39938,40838,55983,24791,197.0,171.0,9.0,1.0
2019_2,1001360,2739,1809,3224,1322,605.0,640.0,52.0,54.0
2019_2,1001361,3815,3711,5063,2463,89.0,85.0,6.0,3.0
2019_2,1001362,10613,15007,17714,7905,176.0,198.0,13.0,17.0
2019_2,1001363,33904,35684,47041,22550,366.0,397.0,14.0,44.0
2019_2,1001423,49479,33881,58919,24440,47.0,39.0,473.0,132.0
2019_2,1001424,42549,36917,55154,24311,834.0,848.0,56.0,26.0
2019_2,1001425,11215,11161,15700,6674,24.0,19.0,2.0,2.0
2019_2,1001479,55351,55140,75512,34984,421.0,418.0,148.0,266.0
2019_2,1001480,173827,148162,209094,112892,1162.0,1225.0,105.0,73.0
2019_2,1001481,52162,64136,83081,33217,1000.0,1011.0,37.0,50.0
2019_2,1001482,6981,2063,7435,1611,162.0,154.0,945.0,84.0
2019_2,1001308,53334,46027,67723,31638,476.0,478.0,12.0,7.0
