기준_년_분기_코드,상권_코드,아파트_단지_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_1,1001466,3.0,12.0,0,0,0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_2,1001463,1.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001463,1.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001462,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001462,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001460,17.0,13.0,1.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0
2019_1,1001460,17.0,13.0,1.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0
2019_2,1001459,2.0,10.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1.0
2019_1,1001459,2.0,10.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1.0
2019_2,1001458,6.0,22.0,2.0,1.0,0,0,4.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,2.0
2019_1,1001458,6.0,22.0,2.0,1.0,0,0,4.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,2.0
2019_2,1001457,2.0,6.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2019_1,1001457,2.0,6.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2019_2,1001453,5.0,4.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
2019_1,1001453,5.0,4.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
2019_2,1001452,3.0,14.0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_1,1001452,3.0,14.0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_2,1001450,4.0,30.0,0,1.0,0,0,4.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0
2019_1,1001450,4.0,30.0,0,1.0,0,0,4.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0
2019_2,1001449,1.0,36.0,0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,3.0
2019_1,1001449,1.0,36.0,0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,3.0
2019_2,1001448,3.0,25.0,0,2.0,0,0,5.0,0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,3.0
2019_1,1001448,3.0,25.0,0,2.0,0,0,5.0,0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,3.0
2019_2,1001447,13.0,16.0,2.0,0,0,0,3.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,1.0
2019_1,1001447,13.0,16.0,2.0,0,0,0,3.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,1.0
2019_2,1001446,1.0,18.0,0,2.0,0,0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0
2019_1,1001446,1.0,18.0,0,2.0,0,0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0
2019_2,1001444,15.0,19.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,2.0
2019_1,1001444,15.0,19.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,2.0
2019_2,1001443,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001443,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001441,2.0,19.0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,3.0
2019_1,1001441,2.0,19.0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,3.0
2019_2,1001440,5.0,9.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1.0
2019_1,1001440,5.0,9.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1.0
2019_2,1001439,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001439,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001433,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001433,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001430,4.0,132.0,3.0,8.0,0,0,16.0,0,0,0,0,0,0,0,2.0,7.0,0,0,0,1.0,19.0
2019_1,1001430,4.0,132.0,3.0,8.0,0,0,16.0,0,0,0,0,0,0,0,2.0,7.0,0,0,0,1.0,19.0
2019_2,1001429,5.0,11.0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_1,1001429,5.0,11.0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_2,1001428,3.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
